model_code,model_name,capacity_kw,form,list_price,sale_price,monthly_fee,buy_url,sub_url
FQ18FV4ES2,LG 휘센 타워에어컨,7.2,스탠드,4274000,3850000,,https://www.lge.co.kr/air-conditioners/fq18fv4es2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv4es2?subscCategoryKeyId=242257
FQ18FV6EA2,LG 휘센 타워에어컨,7.2,스탠드,4274000,3850000,,https://www.lge.co.kr/air-conditioners/fq18fv6ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv6ea2?subscCategoryKeyId=242260
FQ18GV3EE2,LG 휘센 타워에어컨,7.2,스탠드,4351000,3920000,79900,https://www.lge.co.kr/air-conditioners/fq18gv3ee2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv3ee2?subscCategoryKeyId=252769
FQ18GV5EK2,LG 휘센 타워에어컨,7.2,스탠드,4385000,3950000,79500,https://www.lge.co.kr/air-conditioners/fq18gv5ek2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv5ek2?subscCategoryKeyId=254028
FQ18GV5EA2,LG 휘센 타워에어컨,7.2,스탠드,4385000,3950000,,https://www.lge.co.kr/air-conditioners/fq18gv5ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv5ea2?subscCategoryKeyId=251308
FQ18FV6ES2,LG 휘센 타워에어컨,7.2,스탠드,4440000,4000000,89900,https://www.lge.co.kr/air-conditioners/fq18fv6es2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv6es2?subscCategoryKeyId=242267
FQ18FV6EP2,LG 휘센 타워에어컨,7.2,스탠드,4440000,4000000,,https://www.lge.co.kr/air-conditioners/fq18fv6ep2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv6ep2?subscCategoryKeyId=245695
FQ18GV5BK2,LG 휘센 타워에어컨,7.2,스탠드,4496000,4050000,81500,https://www.lge.co.kr/air-conditioners/fq18gv5bk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv5bk2?subscCategoryKeyId=254024
FQ18GV5BA2,LG 휘센 타워에어컨,7.2,스탠드,4496000,4050000,,https://www.lge.co.kr/air-conditioners/fq18gv5ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv5ba2?subscCategoryKeyId=251304
FQ18GV6EK2,LG 휘센 타워에어컨,7.2,스탠드,4551000,4100000,91500,https://www.lge.co.kr/air-conditioners/fq18gv6ek2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv6ek2?subscCategoryKeyId=254036
FQ18GV6EA2,LG 휘센 타워에어컨,7.2,스탠드,4551000,4100000,,https://www.lge.co.kr/air-conditioners/fq18gv6ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv6ea2?subscCategoryKeyId=251543
FQ18GV6BK2,LG 휘센 타워에어컨,7.2,스탠드,4662000,4200000,92500,https://www.lge.co.kr/air-conditioners/fq18gv6bk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv6bk2?subscCategoryKeyId=254032
FQ18GV6BA2,LG 휘센 타워에어컨,7.2,스탠드,4662000,4200000,,https://www.lge.co.kr/air-conditioners/fq18gv6ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv6ba2?subscCategoryKeyId=251541
FQ18FN5BH2,LG 휘센 타워에어컨,7.2,스탠드,4773000,4300000,,https://www.lge.co.kr/air-conditioners/fq18fn5bh2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn5bh2?subscCategoryKeyId=249700
FQ18FN5HH2,LG 휘센 타워에어컨,7.2,스탠드,4773000,4300000,,https://www.lge.co.kr/air-conditioners/fq18fn5hh2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn5hh2?subscCategoryKeyId=249701
FQ18FN5BK2,LG 휘센 타워에어컨,7.2,스탠드,4940000,4450000,,https://www.lge.co.kr/air-conditioners/fq18fn5bk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn5bk2?subscCategoryKeyId=245795
FQ18FV6EF2,LG 휘센 타워에어컨,7.2,스탠드,4995000,4500000,,https://www.lge.co.kr/air-conditioners/fq18fv6ef2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv6ef2?subscCategoryKeyId=242263
